pref_name_for_society,HRAF_name_ID,glottocode,latitude,longitude,X,market,urban,popdens,fixity,tech,writing
!Kung,San (FX10),juho1239,-19.83,20.58,Present,Supra-Regional,< 100 persons,< 1 person / sq. mile,Nomadic,None,Mnemonic devices
Nama,Khoi (FX13),nama1265,-27.5,17,Absent,NA,100-199 persons,< 1 person / sq. mile,Nomadic,Metallurgy,None
Mbuti,Mbuti (FO04),bila1255,1.5,28.33,Absent,Regional,< 100 persons,< 1 person / sq. mile,Nomadic,None,None
Hadza,Hadza (FN11),hadz1240,-3.75,35.18,Absent,NA,< 100 persons,< 1 person / sq. mile,Nomadic,None,None
Lozi,Lozi (FQ09),lozi1239,-16,23.5,Present,Regional,400-999 persons,5.1-25 persons/ sq. mile,Semisedentary,Pottery or Loom,None
Tsonga,Tsonga (FT06),tson1249,-25.83,32.33,Absent,Supra-Regional,< 100 persons,100 persons / sq. mile,Sedentary; impermanent,Metallurgy,None
Mbundu,Ovimbundu (FP13),umbu1257,-12.25,16.5,Present,NA,100-199 persons,5.1-25 persons/ sq. mile,Sedentary,Metallurgy,None
Suku,Suku (FO46),suku1259,-6,18,Absent,Outside Local,< 100 persons,5.1-25 persons/ sq. mile,Sedentary; impermanent,Metallurgy,None
Bemba,Bemba (FQ05),town1238,-10.5,30.5,Present,NA,100-199 persons,1-5 persons / sq. mile,Sedentary; impermanent,Metallurgy,Mnemonic devices
Luguru,Luguru (FN32),lugu1238,-6.83,37.67,Absent,NA,200-399 persons,100 persons / sq. mile,Sedentary,Metallurgy,None
Kikuyu,Gikuyu (FL10),kiku1240,-0.67,37.17,Present,Supra-Regional,100-199 persons,100 persons / sq. mile,Sedentary,Metallurgy,None
Nyakyusa,Nyakyusa and Ngonde (FN17),nyak1261,-9.5,34,Absent,Regional,100-199 persons,26-100 persons  / sq. mile,Sedentary; impermanent,Metallurgy,None
Ganda,Ganda (FK07),gand1255,0.33,32.5,Present,Supra-Regional,100-199 persons,100 persons / sq. mile,Sedentary,Metallurgy,Mnemonic devices
Nkundo,Mongo (FO32),nkun1238,-0.75,19.17,Absent,NA,100-199 persons,1-5 persons / sq. mile,Sedentary,Metallurgy,None
Banen,Banen (FH26),tune1261,4.67,10.8,Absent,NA,200-399 persons,5.1-25 persons/ sq. mile,Sedentary,Metallurgy,None
Fon,Fon (FA18),fonn1241,7.2,1.91,Present,Supra-Regional,1000+ persons,26-100 persons  / sq. mile,Sedentary,Multiple specialists,Nonwritten records
Igbo,Igbo (FF26),nucl1417,5.5,7.33,Present,NA,1000+ persons,100 persons / sq. mile,Sedentary,Metallurgy,None
Ashanti,Akan (FE12),asan1239,7,-1.5,Present,Supra-Regional,200-399 persons,26-100 persons  / sq. mile,Sedentary,Metallurgy,None
Mende,Mende (FC07),mend1266,7.83,-12,Present,NA,100-199 persons,26-100 persons  / sq. mile,Sedentary,Multiple specialists,None
Bambara,Bambara (FA08),bamb1269,12.5,-7,Present,Outside Local,400-999 persons,5.1-25 persons/ sq. mile,Sedentary,Multiple specialists,Nonwritten records
Tallensi,Tallensi (FE11),taln1239,10.66,-0.57,Absent,Regional,400-999 persons,100 persons / sq. mile,Sedentary,Metallurgy,None
Tiv,Tiv (FF57),tivv1240,7.25,9,Present,Outside Local,400-999 persons,26-100 persons  / sq. mile,Sedentary,Metallurgy,None
Otoro,Nuba (FJ21),otor1240,11.33,30.67,Absent,NA,400-999 persons,5.1-25 persons/ sq. mile,Sedentary,Metallurgy,Mnemonic devices
Azande,Azande (FO07),zand1248,5.08,28.25,Present,Supra-Regional,100-199 persons,1-5 persons / sq. mile,Sedentary,Metallurgy,Mnemonic devices
Mao,Mao (MP19),hozo1236,9.27,34.67,Absent,NA,< 100 persons,5.1-25 persons/ sq. mile,Sedentary,Metallurgy,None
Shilluk,Shilluk (FJ23),shil1265,9.75,31.5,Present,Local,400-999 persons,26-100 persons  / sq. mile,Sedentary,Metallurgy,None
Masa,Masa (FI21),masa1322,10.5,15.5,Absent,NA,200-399 persons,26-100 persons  / sq. mile,Sedentary,Metallurgy,None
Maasi,Masai (FL12),masa1300,-3.5,36.75,Present,NA,200-399 persons,1-5 persons / sq. mile,Nomadic,Metallurgy,None
Konso,Konso (MP17),kons1243,5.25,37.5,Absent,NA,1000+ persons,100 persons / sq. mile,Sedentary,Multiple specialists,None
Somali,Somali (MO04),nort3051,9,47.25,Present,Regional,400-999 persons,5.1-25 persons/ sq. mile,Nomadic,Metallurgy,True writing
Kafa,Kaffa (MP14),kafa1242,7.27,36.5,Present,NA,< 100 persons,26-100 persons  / sq. mile,Sedentary,Multiple specialists,Mnemonic devices
Amhara,Amhara (MP05),amha1245,12.5,37.75,Present,Supra-Regional,200-399 persons,26-100 persons  / sq. mile,Sedentary,Multiple specialists,True writing
Fur,Fur (MQ08),furr1244,13.5,25.5,Absent,Regional,100-199 persons,5.1-25 persons/ sq. mile,Sedentary,Multiple specialists,True writing
Wolof,Wolof (MS30),nucl1347,13.75,-15.33,Absent,Supra-Regional,100-199 persons,100 persons / sq. mile,Sedentary,Multiple specialists,True writing
Wodaabe Fulani,Fulani (MS11),boro1274,15,7.5,Absent,Regional,100-199 persons,1-5 persons / sq. mile,Nomadic,None,None
Zazzagawa Hausa,Hausa (MS12),araw1280,10.5,7.5,Present,Regional,1000+ persons,26-100 persons  / sq. mile,Sedentary,Metallurgy,True writing
Songhai,Songhai (MS20),koyr1242,16.58,-1.67,Present,NA,400-999 persons,5.1-25 persons/ sq. mile,Sedentary,Metallurgy,True writing
Teda,Teda (MS22),teda1241,20.5,17.5,Absent,NA,< 100 persons,< 1 person / sq. mile,Nomadic,Metallurgy,Mnemonic devices
Tuareg Ahaggar,Tuareg (MS25),hogg1238,23,6.5,Absent,Regional,< 100 persons,< 1 person / sq. mile,Nomadic,Metallurgy,True writing
Barabra,Nubians (MR08),kenu1236,23,39.11,Present,NA,< 100 persons,26-100 persons  / sq. mile,Sedentary,Pottery or Loom,True writing
Egyptians,Fellahin (MR13),egyp1253,24.75,33,Present,Supra-Regional,1000+ persons,100 persons / sq. mile,Sedentary,Multiple specialists,True writing
Riffians,Berbers of Morocco (MX03),tari1263,34.92,-3.25,Present,Regional,400-999 persons,100 persons / sq. mile,Sedentary,Multiple specialists,True writing
