Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes_cat,Social relationship,Transmission bias_cat,Learning process,Learning process_cat,Time spent,Technology_cat,Technology,Raw material,Note,Reference
Central Africa,Barundi,FO58,Horticulturalists,1911,NA,NA,NA,NA,Single,NA,adulthood,Single,Vertical,father,Kin-based,NA,NA,NA,metal working,blacksmithing,Metal,restricted to the oldest son; mother can also pass her expertise to her oldest daughter,"Meyer and Handzik, 1916: 139"
Central Africa,Mbuti,FO04,Hunter-gatherers,"1951, 1954-1955",NA,NA,girls,NA,NA,NA,adulthood,Single,Vertical,mother,Kin-based,imitation,Observational,NA,basket making,basket making,Plant fiber,NA,"Turnbull, 1965: 125"
Central Africa,Mongo,FO32,Horticulturalists,Ca. 1930,NA,NA,NA,NA,NA,NA,adulthood,NA,Vertical,parents,Kin-based,"""teach""",Interactive,NA,metal working,forging,Metal,Girls tend to be observed more frequently because they spent most of their time in the village,"Hulstaert and Vizedom, 1938: 476"
Central Africa,Mongo,FO32,Horticulturalists,Ca. 1930,NA,NA,NA,NA,NA,NA,adulthood,NA,Vertical,parents,Kin-based,"""teach""",Interactive,NA,woodworking,wood sculpture,Wood,Girls tend to be observed more frequently because they spent most of their time in the village,"Hulstaert and Vizedom, 1938: 476"
Central Africa,Mongo,FO32,Horticulturalists,Ca. 1930,NA,NA,NA,NA,NA,NA,adulthood,NA,Vertical,parents,Kin-based,"""teach""",Interactive,NA,mat making,the weaving of mats,Plant fiber,Girls tend to be observed more frequently because they spent most of their time in the village,"Hulstaert and Vizedom, 1938: 476"
Central Africa,Mongo,FO32,Horticulturalists,Ca. 1930,NA,NA,NA,NA,NA,NA,adulthood,NA,Vertical,parents,Kin-based,"""teach""",Interactive,NA,basket making,the weaving of baskets,Plant fiber,Girls tend to be observed more frequently because they spent most of their time in the village,"Hulstaert and Vizedom, 1938: 476"
Central Africa,Mongo,FO32,Horticulturalists,Ca. 1930,NA,NA,NA,NA,NA,NA,adulthood,NA,Vertical,parents,Kin-based,"""teach""",Interactive,NA,pottery making,pottery making,Clay,Girls tend to be observed more frequently because they spent most of their time in the village,"Hulstaert and Vizedom, 1938: 476"
Central Africa,Teda,MS22,Agro-pastoralists,Ca. 1930-1955,NA,NA,children,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,net making,net making,Plant fiber,NA,"Chapelle and Schütze, 1957: 164-165"
Central Africa,Teda,MS22,Agro-pastoralists,Ca. 1930-1955,NA,NA,children,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trap making,trap making,Composite,"Traps include darts, siding knots, and thick sticks.","Chapelle and Schütze, 1957: 164-165"
Eastern Africa,Amhara,MP05,Intensive agriculturalist,"1953-54, 1961",hamlet,indoor,boys,NA,NA,NA,NA,NA,NA,NA,NA,play,Interactive,NA,weaving,reed weaving,Plant fiber,NA,"Messing and Bender, 1985: 209"
