Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes,Transmission modes1,Social relationship,Transmission bias,Transmission bias1,Learning process,Learning process(type),Time spent,Perceived difficulty,Technology,Raw material,Function,Access to raw material,Genderedness,Confidence level of generedness judgement,Note,Reference
Central Africa,Barundi,FO58,Horticulturalists,1911,NA,NA,NA,NA,1,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,NA,NA,NA,NA,blacksmithing,Metal,Utilitarian,NA,M,Low,restricted to the oldest son; mother can also pass her expertise to her oldest daughter,"Meyer and Handzik, 1916: 139"
Central Africa,Mbuti,FO04,Hunter-gatherers,"1951, 1954-1955",NA,NA,girls,NA,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,imitation,Observational,NA,NA,basket making,Plant fiber,Utilitarian,NA,F,Low,NA,"Turnbull, 1965: 125"
Central Africa,Mongo,FO32,Horticulturalists,Ca. 1930,NA,NA,NA,NA,NA,NA,Adulthood,NA,Vertical,Vertical,parents,Kin-based,Kin-based,"""teach""",Interactive,NA,NA,blacksmithing,Metal,Utilitarian,NA,NA,NA,Girls tend to be observed more frequently because they spent most of their time in the village,"Hulstaert and Vizedom, 1938: 476"
Central Africa,Mongo,FO32,Horticulturalists,Ca. 1930,NA,NA,NA,NA,NA,NA,Adulthood,NA,Vertical,Vertical,parents,Kin-based,Kin-based,"""teach""",Interactive,NA,NA,wood sculpture,Wood,NA,NA,NA,NA,Girls tend to be observed more frequently because they spent most of their time in the village,"Hulstaert and Vizedom, 1938: 476"
Central Africa,Mongo,FO32,Horticulturalists,Ca. 1930,NA,NA,NA,NA,NA,NA,Adulthood,NA,Vertical,Vertical,parents,Kin-based,Kin-based,"""teach""",Interactive,NA,NA,the weaving of mats and baskets,Plant fiber,Utilitarian,NA,NA,NA,Girls tend to be observed more frequently because they spent most of their time in the village,"Hulstaert and Vizedom, 1938: 476"
Central Africa,Mongo,FO32,Horticulturalists,Ca. 1930,NA,NA,NA,NA,NA,NA,Adulthood,NA,Vertical,Vertical,parents,Kin-based,Kin-based,"""teach""",Interactive,NA,NA,pottery making,Clay,Utilitarian,NA,NA,NA,Girls tend to be observed more frequently because they spent most of their time in the village,"Hulstaert and Vizedom, 1938: 476"
Central Africa,Teda,MS22,Agro-pastoralists,Ca. 1930-1955,NA,NA,children,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,net making,Plant fiber,Utilitarian,NA,NA,NA,NA,"Chapelle and Schütze, 1957: 164-165"
Central Africa,Teda,MS22,Agro-pastoralists,Ca. 1930-1955,NA,NA,children,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trap making,Composite,Utilitarian,NA,NA,NA,"Traps include darts, siding knots, and thick sticks.","Chapelle and Schütze, 1957: 164-165"
Eastern Africa,Amhara,MP05,Intensive agriculturalist,"1953-54, 1961",hamlet,indoor,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,play,Interactive,NA,NA,reed weaving,Plant fiber,Utilitarian,NA,M,Low,NA,"Messing and Bender, 1985: 209"
Eastern Africa,Amhara,MP05,Intensive agriculturalist,"1953-54, 1961",NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"toys (water-pistols, peashooters) ",Plant fiber,Toy,NA,M,Low,toys are made of bamboo,"Messing and Bender, 1985: 209"
Eastern Africa,Amhara,MP05,Intensive agriculturalist,"1953-54, 1961",NA,NA,boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"musical instruments (panpipe flutes, bullrearer)",Composite,Utilitarian,NA,M,Low,"instruments are made of wood and reeds, which are used to scare birds away","Messing and Bender, 1985: 209"
Eastern Africa,Banyoro,FK11,Horticulturalists,NA,NA,NA,boys,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,train,Interactive,NA,NA,barkcloth making,Plant fiber,Utilitarian,NA,M,Low,NA,"Nyakatura and Rigby, 1970: 39-41"
Eastern Africa,Banyoro,FK11,Horticulturalists,NA,NA,NA,boys,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,train,Interactive,NA,NA,blacksmith,Metal,Utilitarian,NA,M,Low,NA,"Nyakatura and Rigby, 1970: 39-41"
Eastern Africa,Banyoro,FK11,Horticulturalists,NA,NA,NA,boys,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,train,Interactive,NA,NA,carpentery,Wood,Utilitarian,NA,M,Low,NA,"Nyakatura and Rigby, 1970: 39-41"
