id,x,y
00,1,1
01,0,1
02,0,0
03,0,1
04,1,1
05,1,0
06,1,0
07,0,0
08,0,0
09,0,1
10,1,1
11,1,1
12,0,1
13,1,1
14,0,1
15,1,0
16,0,0
17,0,0
18,0,1
19,1,1
20,1,0
21,0,0
22,1,0
23,0,1
24,1,1
25,1,0
26,1,1
27,0,1
28,1,1
29,1,1
30,0,1
31,0,0
32,0,1
33,0,0
34,1,0
35,1,0
36,1,1
37,0,1
38,0,0
39,0,0
40,1,0
41,1,0
42,1,1
43,1,1
44,1,1
45,0,1
46,0,1
47,0,1
48,1,0
49,0,0
50,0,1
51,1,1
52,1,1
53,1,0
54,0,0
55,0,1
56,0,0
57,0,0
58,1,0
59,1,0
60,0,0
61,1,0
62,0,1
63,1,1
64,1,0
65,0,0
66,0,0
67,1,1
68,0,1
69,1,0
70,0,0
71,1,0
72,0,0
73,1,0
74,1,0
75,0,0
76,0,0
77,1,1
78,0,1
79,1,1
80,1,0
81,0,0
82,0,1
83,1,1
84,0,0
85,1,0
86,0,1
87,1,0
88,0,1
89,1,1
90,0,0
91,1,1
92,1,1
93,0,1
94,0,1
95,1,0
96,1,1
97,0,1
98,0,0
99,1,0
