id,x,y
00,1,1
01,0,1
02,1,1
03,0,0
04,0,0
05,0,0
06,0,0
07,1,0
08,0,1
09,1,1
10,0,0
11,1,1
12,1,1
13,1,0
14,0,0
15,1,1
16,1,1
17,0,1
18,1,1
19,0,0
20,0,0
21,1,1
22,1,0
23,0,0
24,1,1
25,1,0
26,0,0
27,1,1
28,0,0
29,1,1
30,0,1
31,1,1
32,0,1
33,0,0
34,1,1
35,0,0
36,0,0
37,1,1
38,0,0
39,1,0
40,0,0
41,1,1
42,1,1
43,0,0
44,1,1
45,0,0
46,1,1
47,0,0
48,0,0
49,1,1
50,0,1
51,1,0
52,0,0
53,1,1
54,1,1
55,0,0
56,0,0
57,1,0
58,1,1
59,1,1
60,0,0
61,0,1
62,0,0
63,1,1
64,1,1
65,0,0
66,1,1
67,1,1
68,0,0
69,0,1
70,0,0
71,1,1
72,0,0
73,1,1
74,1,0
75,1,1
76,0,0
77,1,1
78,0,0
79,1,0
80,0,1
81,0,0
82,1,1
83,1,1
84,0,0
85,0,0
86,1,1
87,1,1
88,0,0
89,1,1
90,0,1
91,0,0
92,1,0
93,1,1
94,1,1
95,0,0
96,0,0
97,1,1
98,0,0
99,0,0
