Socialization,Marriage,Sexuality,FuneralsMourning,Gender,LawEthics
1.75,2,1.25,1.75,1,1.25
1,1,1.25,2.75,1.875,1.375
1.125,1.25,,2,1,1.25
1.25,1,1,2.75,2.25,1
,1.25,,,1.75,2
,1.125,2.5,3.5,1.5,2.25
1,2.875,2,2.5,2,2.125
2,2.125,3,,1.5,2
2.25,1.75,1.25,3,2,2
1.25,2,1.25,,1.25,2
2,2,2.75,2.125,3.125,1.625
1.75,2.25,3,,3,2.25
,2,2.25,,1.75,2.25
2.125,2.875,2,4,2.75,2.25
2,1.75,3,3.25,1.75,2
1.75,1.25,2.25,3,4,2.25
1.25,2.25,1,3.75,2,2.25
3.75,1.75,2.25,3.25,3,3.75
1,1.75,,3,1.75,2.25
2,1.125,2.5,3,1.375,2.125
2,2.5,2.125,2.875,2,3.5
2.75,2,3,3.625,1.5,2.125
1.75,3.75,1.25,,2.75,2.75
,2.25,2,3.75,3.75,2.75
,1.25,,2.75,2.75,2.75
2.25,2.25,3,,2.25,2.75
2.125,2.875,2.5,3,2.625,2.5
,3.75,3.875,3,2.375,2.75
,2,4,1.75,,3
1.25,3,,3.25,3,3.25
,3.75,2.875,3,2.625,2.375
3.75,3.75,2.25,,2.75,3
2.75,2.25,2.75,2.25,3,3
3,3.125,3.5,3.375,2.5,3
3.625,2.25,,,1.5,3.125
3.5,2.875,3.5,,3,3
,3.375,,3.875,1.875,3.125
,2.625,3,3.125,2.875,3.125
3,3,3,4,2,2.75
2.5,3.125,2.875,2.625,3.875,3.25
,3.25,,3,3.25,2
2.25,3.375,2.875,3.875,3.875,2.625
2,2.25,3,4,3,3.25
3,3.125,2.25,3.5,2.25,3.875
2,3,3.875,,3.75,3
2.875,1.5,3.75,3.75,3.5,2.875
3.25,3.25,3,4,1.25,3
3,3.75,2.75,4,2.75,3.75
3,3.25,3.25,3.75,2.75,3.25
3.25,3.75,2.75,,2.75,3
,,,3.75,3,2.75
,3.75,3.75,3.75,2.25,3.25
1.25,3,2.75,3.75,3.25,3.25
2.75,1.75,2.75,2.75,3.25,3.75
,1.75,2.75,2.75,3,3.75
,3.25,3.25,4,2.75,2.75
3.875,2.625,3.125,3.75,3.5,3.125
3,3.125,2.5,3,4,3.125
3.875,2.25,3,4,2.75,3.75
,3.375,3.125,3,2.625,3.375
,2.5,3.25,3.875,3.375,3.125
,3.75,3.5,4,3.75,3.25
2.625,3.25,3,3,3.75,3.75
4,3.75,2,2.25,3.25,3.25
4,3.25,2.25,4,3.75,3
,,,,,3.25
,3,,3.25,4,3.25
2.25,3.25,3.75,3.25,3.75,3.25
,3.25,3.25,3.25,3.75,3.75
,3,3.75,4,3,3.25
,3.375,3.625,,3.875,3.875
,3.875,3.375,3.5,,4
3.875,3,2.25,4,3,3.875
2.75,3.5,3.875,4,3.75,3.875
2.75,3,3,4,3,4
3.25,3.75,,,3.25,3.75
4,3.25,3.75,4,3.75,3.75
3.75,3.75,3.25,4,3.75,3.75
3.25,,,,3.75,3.75
3.5,3.75,3,3.875,4,3.875
3.75,3.875,3.5,4,3.5,4
3.5,3.125,3.125,4,3.875,4
3.875,3.875,4,,4,4
4,4,,4,4,3.75
3.25,4,3.75,3.75,3.75,4
3.25,4,,4,3.75,4
