Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes,Social relationship,Transmission bias,Learning process,Time spent,Perceived difficulty,Technology,Raw material,Access to raw material,Access to technology,Note,Reference
Central Africa,Barundi,FO58,Horticulturalist,1911,NA,NA,NA,NA,1,NA,Adult,1,Vertical,Father-son,Kin-based,NA,NA,NA,blacksmith,Metal,NA,restricted to the oldest son,mother can also pass her expertise to her oldest daughter,"Meyer and Handzik, 1916: 139"
Central Africa,Mongo,FO32,Horticulturalist,Ca. 1930,NA,NA,NA,NA,NA,NA,Adult,NA,Vertical,parents,Kin-based,"""teach""",NA,NA,"forging, wood sculpture, the weaving of mats and baskets, pottery making",NA,NA,NA,Girls tend to be observed more frequently because they spent most of their time in the village,"Hulstaert and Vizedom, 1938: 476"
Eastern Africa,Chagga,FN04,Intensive agriculturalist,Ca. 1918,NA,NA,NA,NA,NA,NA,Adult,1,Vertical/Oblique,blood kin or blood kin to become,Kin-based,Apprenticeship,2-3 years at least,NA,blacksmith,Metal,NA,NA,The apprentice is not allowed to teach others without the consent of the master,"Dundas Sir, 1924: 273-274"
Southern Africa,Ovambo,FX08,Agro-pastoralists,"1958-1962, 1971-1975",NA,NA,boy,NA,NA,NA,Adult,1,Oblique,Mother or father's brother,Kin-based,Apprenticeship,NA,NA,blacksmith,Metal,NA,boys?,The blacksmith has low social status. There is an initation ceremony to become independent,"Hiltunen, 1993: 70-71"
Southern Africa,Tanala,FY08,Intensive agriculturalist,1926-1927,NA,NA,"""at a very early age""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,traps for small birds and mammals,NA,NA,Boys?,Tanala toys seem to be characterized by an almost complete absence of replicas of things used by adults,"Linton, 1933: 256-258"
Southern Africa,Tonga,FQ12,Horticulturalist,"1946-1947, 1948, 1950",NA,NA,"""throughout childhood""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,various tools or utensils,NA,NA,NA,Boys have a less uniform training and their competence,"Colson, 1958: 262-263"
Southern Africa,Ovimbundu,FP13,Horticulturalist,1929-1930,NA,NA,"""at an early age""",NA,NA,NA,NA,NA,NA,NA,NA,play,NA,NA,wooden-tiped arrow,wood,NA,Boys only?,gendered skills,"Hambly, 1934: 167"
Southern Africa,Ovimbundu,FP13,Horticulturalist,1929-1930,NA,NA,"""at an early age""",NA,NA,NA,NA,NA,NA,NA,NA,play,NA,NA,pottery and bastetery coiling,NA,NA,Girls only?,gendered skills,"Hambly, 1934: 167"
Western Africa,Akan,FE12,Horticulturalist,1921-192?,NA,NA,NA,NA,NA,NA,Adult,1,Vertical,Father-son/sister's son-uncle,Kin-based,NA,NA,NA,stool carving,Wood,NA,restricted to men,"stools are believed to have their own name, gender, and social status","Rattray, 1927: 271-272"
Western Africa,Akan,FE12,Horticulturalist,1921-192?,NA,NA,quite small children,NA,NA,NA,Adult,1,Vertical,mother-daughter,Kin-based,NA,NA,NA,pottery making,clay,NA,mainly women,anthropomorphic or zoomorphic forms are forbidden for women to make,"Rattray, 1927: 301-302"
