	lnpop	nodes
Ambonese	9.678154105	24
Agta	6.658011046	17
Bisaya	12.88548848	17
Ami	11.83247678	6
Atoni	11.01862914	19
Anuta	5.587248658	30
Balinese	15.17648711	14
TobaBatak	14.50865774	14
Bajau	10.59663473	13
Banggai	11.51292546	16
Bima	13.12236338	18
Bonerate	9.159047078	18
Bontok	10.59663473	19
Kei	8.006367568	21
Bunun	10.54505192	6
Bugis	15.06827353	14
Truk	10.5542751	30
Idaan	8.699514748	11
Dobu	9.210340372	28
Bau	12.7081834	26
EastFutuna	8.794824928	32
Futuna	6.396929655	37
Gaddang	10.30895266	17
Gayo	12.10071213	17
Kiribati	10.97370037	26
Gorontalo	13.71015004	12
Hanunoo	9.474241916	14
Iban	12.89921983	20
Ibaloi	11.62132237	19
Ilongot	10.83537601	16
Javanese	18.13975314	17
Kilivila	9.903487553	25
Kalingas	9.547026871	17
Kosrae	8.987196821	27
Kapingamarangi	8.006367568	37
Kedang	10.30895266	18
Kerinci	12.61153775	23
Abung	14.22097567	17
Nguna	8.006367568	32
Madurese	16.43246834	18
Makassar	14.28551419	14
UplandBagobo	9.853982133	19
Mekeo	9.852194258	24
Melenau	10.30558031	14
Motu	9.546812609	25
Kilenge	8.556413905	26
Minangkabau	15.68731273	23
Rennellese	8.068089626	33
BolaangMongondow	13.71015004	11
Manggarai	13.12236338	18
Maori	11.00209984	39
Maranao	13.56212556	13
Mansaka	10.96406909	19
Manam	8.980801414	24
Moken	8.853665428	11
Lakalai	8.517193191	23
Niuean	7.614312146	33
NehanHape	8.779557456	30
Tanna	7.718685495	30
Ogan	12.61153775	22
OntongJava	7.76937861	36
PalawanBatak	9.572689189	16
Tongareva	6.396929655	38
Pohnpeian	10.61122774	11
Puyuma	9.04629086	6
Rapanui	8.129174997	37
Mangaian	9.729134165	37
Rejang	13.81551056	17
Toraja	12.4292162	13
Rotuman	9.104979856	27
Sasak	14.5574479	14
Penan	7.60090246	18
Sika	12.07254125	17
Lamaholot	11.91839057	18
Selaru	8.987196821	19
Samoan	12.20295278	29
Sengseng	7.467371067	25
Sunda	17.11134742	18
Sangir	12.20607265	17
Subanun	11.84947627	16
Tahitian	11.66992921	41
Yami	8.126813721	17
Atayal	11.34249295	9
Tetum	10.81977828	18
Tagbanwa	7.60090246	16
Tokelau	8.083945702	35
Tikopia	8.108924156	34
Manus	6.131226489	25
Tongan	11.56474912	28
Tausug	13.83727205	17
Tsou	7.662467815	7
Choiseul	7.580699752	31
Tuvalu	9.476620038	35
Rotinese	10.30895266	19
Woleaian	7.396948603	31
LepantoSegada	11.15625052	19
Yakan	11.56689268	13
