sccsn,Socialization,Marriage,Sexuality,FuneralsMourning,Gender,LawEthics,threat_fam,threat_path,complexity,Res_Hetero,pastoralism,huntergatherer,horticulture,agriculture,polygamy,latitude,longitude,Authoritarianism,MoralGod
96,2.75,3.5,3.875,4,3.75,3.875,-0.757448217,0.069630253,-0.094735809,0,0,1,0,0,0,-2,147,1,0
150,2,2,2.75,2.125,3.125,1.625,-0.37187676,-0.754624796,-0.460986575,0,0,0,0,0,1,35.83,-112.17,1,0
36,,3,,3.25,4,3.25,0.445749388,0.903568001,-0.069714797,0,1,0,0,0,1,8,48,1,1
13,1.75,2,1.25,1.75,1,1.25,-1.127475079,-0.675775074,-1.259624192,1,0,1,0,0,1,1.5,28.33,1,0
92,1.75,1.25,2.25,3,4,2.25,-0.294771891,0.749822973,-0.493135037,0,0,0,0,0,1,-9,-148,1,0
119,3,3.125,2.25,3.5,2.25,3.875,0.669385596,-0.773990194,-0.686541293,0,0,1,0,0,1,51.54,140,1,0
2,1.75,2.25,3,,3,2.25,0.19791178,-0.878627662,-1.107613677,1,0,1,0,0,1,-20,21,1,0
112,,1.125,2.5,3.5,1.5,2.25,-0.135728075,-0.054372614,0.144778816,1,0,0,0,1,0,16.83,121.17,1,0
124,1.125,1.25,,2,1,1.25,1.070519388,-1.444500215,-0.865637755,0,0,1,0,0,0,68.58,-106.61,1,0
186,3.5,2.875,3.5,,3,3,-0.111679995,-1.186117719,-1.175390312,0,0,1,0,0,0,-55.5,-69.5,1,1
130,,3.25,3.25,4,2.75,2.75,-0.650809004,-0.908369824,-0.733420917,0,0,1,0,0,1,60.5,-145,2,0
132,3.875,2.25,3,4,2.75,3.75,-0.774704613,-0.649987328,-0.485717501,0,0,1,0,0,,52.33,-126.5,2,0
142,2.25,2.25,3,,2.25,2.75,1.169201408,-0.640304628,-0.086675969,1,0,0,0,0,1,42,-100,2,0
144,1.25,2.25,1,3.75,2,2.25,0.578868529,-0.640304628,0.097186718,1,0,0,0,0,0,44,-78,2,0
40,3,3.125,3.5,3.375,2.5,3,1.247970523,0.442332917,-0.564283188,0,1,0,0,0,1,21,17,2,1
42,,3.75,3.5,4,3.75,3.25,0.655049333,0.596077945,1.019141252,0,1,0,0,0,1,34.92,-3.25,2,1
52,,2,2.25,,1.75,2.25,-0.650809004,-1.444500215,-0.662636331,0,1,0,0,0,0,68.7,21.5,2,1
58,,3.75,3.875,3,2.375,2.75,-0.758441073,-0.445048738,-0.220993214,0,1,0,0,0,,29,53,2,1
30,3.75,3.75,2.25,,2.75,3,1.253411888,1.211058057,-0.096478302,0,0,0,0,1,1,11.33,30.67,2,
34,2.5,3.125,2.875,2.625,3.875,3.25,0.982922018,0.903568001,-0.628121421,0,1,0,0,0,1,-3.5,36.75,2,
