"eHRAF.ID","EA.ID","Subsistence","Society","Lat","Long"
"FO58","Ae08","Horticulturalists","Barundi",-3,30
"FO04",NA,"Hunter-gatherers","Mbuti",1.5,28.33
"FO32",NA,"Horticulturalists","Mongo",1,22
"MS22","Cc02","Agro-pastoralists","Teda",21,17
"MP05","Ca07","Intensive agriculturalist","Amhara",13,38
"FK11","Ad02","Horticulturalists","Banyoro",2,32
"FN04",NA,"Intensive agriculturalist","Chagga",-3.25,37.5
"MQ08","Cb17","Intensive agriculturalist","Fur",12,24
"FK07","Ad07","Intensive agriculturalist","Ganda",1,32
"FL10","Ad04","Intensive agriculturalist","Gikuyu",-1,37
"FN32","Ad14","Horticulturalists","Luguru",-8,38
"FJ21","Ai10","Intensive agriculturalist","Nuba",12,31
"FL20","Aa02","Hunter-gatherers","Okiek",0,36
"FL17","Aj05","Pastoralists","Turkana",4,35
"MX03",NA,"Agro-pastoralists","Berbers of Morocco",34.92,-3.25
"MR08","Cd01","Horticulturalists","Nubians",23,33
"MS25",NA,"Agro-pastoralists","Tuareg",23,6.5
"FQ05",NA,"Horticulturalists","Bemba",-10.5,30.5
"FX13",NA,"Other subsistence combinations","Khoi",-27.5,17
"FX08",NA,"Agro-pastoralists","Ovambo",-17.6,15.5
"FP13",NA,"Horticulturalists","Ovimbundu",-12.25,16.5
"FX10","Aa01","Hunter-gatherers","San",-20,21
"FS05","Ab18","Agro-pastoralists","Shona",-19,31
"FY08","Eh03","Intensive agriculturalist","Tanala",-22,47
"FQ12",NA,"Horticulturalists","Tonga",-17.42,27.1
"FX20","Ab12","Agro-pastoralists","Zulu",-29,31
"FE12",NA,"Horticulturalists","Akan",7,-1.5
"FA16",NA,"Intensive agriculturalist","Dogon",15.06,-2.92
"FA18","Af01","Horticulturalists","Fon",7,2
"MS11","Cb24","Pastoralists","Fulani",12,12
"FF26",NA,"Horticulturalists","Igbo",5.5,7.33
"FD06",NA,"Horticulturalists","Kpelle",6.92,-9.96
"FC07","Af05","Horticulturalists","Mende",8,-11
"FA28","Ag47","Intensive agriculturalist","Mossi",12,-2
"FE11","Ag04","Intensive agriculturalist","Tallensi",11,-1
"FF57",NA,"Horticulturalists","Tiv",7.25,9
"FF62","Af32","Horticulturalists","Yoruba",7,3
"RJ01","Ci10","Intensive agriculturalist","Armenia",40,45
"AH06",NA,"Agro-pastoralists","Inner Mongolia",43.3,114.59
"AK05","Ee03","Intensive agriculturalist","Lepcha",28,89
"AH01","Eb03","Pastoralists","Mongolia",46,97
"AB43",NA,"Intensive agriculturalist","Okayama",34.9,133.81
"AC07","Ed07","Intensive agriculturalist","Okinawans",26.16,127.8
"AE04","Ed02","Intensive agriculturalist","Yi",29,103
"RY04","Ec05","Primarily hunter-gatherers","Koryaks",61.99,164.24
"RX02","Ec01","Primarily hunter-gatherers","Nivkh",53,142
"RV03","Ec06","Primarily hunter-gatherers","Yukaghir",70,145
"AZ02","Eh01","Hunter-gatherers","Andamans",12,93
"AW69",NA,"Intensive agriculturalist","Bengali",24,90
"AW25",NA,"Agro-pastoralists","Bhil",20.85,73.9592
"AR05",NA,"Horticulturalists","Garo",26,91
"AW32","Eg03","Other subsistence combinations","Gond",19,81
"AR20","Ei04","Horticulturalists","Mara",22,93
"AW42","Ef01","Intensive agriculturalist","Santal",24,87
"OF05","Ic02","Horticulturalists","Alorese",-8.22,124.26
"OF07","Ib03","Intensive agriculturalist","Balinese",-8.18,115.02
"AO07",NA,"Intensive agriculturalist","Central Thai",14,100.85
"OG11","Ic05","Horticulturalists","Eastern Toraja",-2,121
"OA19",NA,"Intensive agriculturalist","Ifugao",16.83,121.17
"OE05","Ib02","Intensive agriculturalist","Javanese",-7,110
"AN05","Ej08","Intensive agriculturalist","Malays",5,103
"OA08","Ia13","Primarily hunter-gatherers","Sama-Bajau",5.09,119.97
"AN06","Ej14","Horticulturalists","Semai",4,102
"AM11","Ej04","Intensive agriculturalist","Vietnamese",17,107
"EP04",NA,"Pastoralists","Saami",68.7,21.5
"ST13",NA,"Primarily hunter-gatherers","Island Carib",15.41,-61.27
"SA12","Sa07","Horticulturalists","Garifuna",16,-89
"SB05",NA,"Horticulturalists","Kuna",9.25,-78.5
"NU46",NA,"Other subsistence combinations","Nahua",18.9,-96.95
"NU44",NA,"Horticulturalists","Zapotec",17.21,-96.22
"NW08","Sa08","Horticulturalists","Mam Maya",15,-92
"NV10",NA,"Horticulturalists","Maya (Yucatan Peninsula)",18.7757,-88.9567
"NW10","Sa13","Intensive agriculturalist","Quiché Maya",15,-91
"NV09","Sa02","Horticulturalists","Tzeltal",17,-92
"MA12",NA,"Agro-pastoralists","Lur",32.5438,47.916
"NA06",NA,"Hunter-gatherers","Aleut",55,-162.85
"NA10","Na10","Hunter-gatherers","Alutiq",60.72,-146.49
"ND07","Na30","Hunter-gatherers","Chipewyans",60,-105
"ND08","Na03","Hunter-gatherers","Copper Inuit",69,-110
"NA07","Nb05","Hunter-gatherers","Eyak",60.34,-144.85
"NH06","Na05","Hunter-gatherers","Innu",58,-70
"ND12",NA,"Hunter-gatherers","Kaska",60,-131
"NG06","Na34","Hunter-gatherers","Ojibwa",52,-94
"NG08",NA,"Hunter-gatherers","Western Woods Cree",57,-99
"NN08","Ng05","Other subsistence combinations","Cherokee",36,-83
"NM07","Ng06","Primarily hunter-gatherers","Delaware",41,-75
"NP05","Nf07","Other subsistence combinations","Fox",45,-95
"NG05","Ng01","Other subsistence combinations","Huron/Wendat",44,-78
"NJ05",NA,"Hunter-gatherers","Mi'kmaq",46.99,-65
"NO08","Ng07","Other subsistence combinations","Natchez",32,-91
"NN16","Ng02","Horticulturalists","Seminole",27,-81
"NR06","Nb19","Hunter-gatherers","Chinookans Of The Lower Columbia River",45.99,-123.77
"NE09","Nb01","Hunter-gatherers","Haida",54,-132
"NE11","Nb11","Hunter-gatherers","Nuu-Chah-Nulth",49.16,-125.85
"NE06","Nb09","Hunter-gatherers","Nuxalk",52,-127
"NS18","Nc18","Hunter-gatherers","Pomo",39,-123
"NR17","Nb25","Hunter-gatherers","Quinault",47.42,-124.16
"NR26","Nb17","Hunter-gatherers","Southern Coast Salish",47,-122
"NR21","Nb20","Hunter-gatherers","Tillamook",44.75,-123.72
"NA12","Nb22","Hunter-gatherers","Tlingit",58.12,-133.92
"NS29","Nc03","Hunter-gatherers","Yokuts",36,-120
"NS30","Nc15","Hunter-gatherers","Yuki",39.34,-123.77
